scrape_date,rank,provider,product_name,aer,duplicate_key
2026-07-02,130,Dudley BS,Easy Access Online (Monthly Interest) Issue 4,3.35,Dudley BS|Easy Access Online (Monthly Interest) Issue 4|3.35
2026-07-02,131,Dudley BS,Easy Access Saver Online Issue 10,3.35,Dudley BS|Easy Access Saver Online Issue 10|3.35
2026-07-02,132,HSBC,Online Bonus Saver,3.35,HSBC|Online Bonus Saver|3.35
2026-07-02,133,Principality BS,Branch 5 Access Bonus Saver Issue 2,3.35,Principality BS|Branch 5 Access Bonus Saver Issue 2|3.35
2026-07-02,134,Principality BS,Online Bonus 5 Access (Issue 4),3.35,Principality BS|Online Bonus 5 Access (Issue 4)|3.35
2026-07-02,135,Suffolk Building Society,Triple Access Saver,3.35,Suffolk Building Society|Triple Access Saver|3.35
2026-07-02,136,"Wealthify, an Aviva company",Instant Access Savings Account,3.35,"Wealthify, an Aviva company|Instant Access Savings Account|3.35"
2026-07-02,137,first direct,Bonus Savings Account,3.35,first direct|Bonus Savings Account|3.35
2026-07-02,138,Quilter Invest,GB Bank Base Rate Tracker,3.34,Quilter Invest|GB Bank Base Rate Tracker|3.34
2026-07-02,139,Nationwide BS,1 Year Triple Access Saver 3,3.30,Nationwide BS|1 Year Triple Access Saver 3|3.30
2026-07-02,140,Skipton BS,Branch Six Access Saver Issue 1,3.30,Skipton BS|Branch Six Access Saver Issue 1|3.30
2026-07-02,141,Skipton BS,Six Access Saver Issue 1,3.30,Skipton BS|Six Access Saver Issue 1|3.30
2026-07-02,142,The Co-operative Bank,Select Access Saver 5,3.28,The Co-operative Bank|Select Access Saver 5|3.28
2026-07-02,143,Oxbury Bank,Personal Easy Access Account (Issue 2),3.27,Oxbury Bank|Personal Easy Access Account (Issue 2)|3.27
2026-07-02,144,Hanley Economic BS,Limited Access Saver,3.25,Hanley Economic BS|Limited Access Saver|3.25
2026-07-02,145,Melton BS,Limited Access Saver,3.25,Melton BS|Limited Access Saver|3.25
2026-07-02,146,Monzo Bank,Instant Access Savings Pot - Max,3.25,Monzo Bank|Instant Access Savings Pot - Max|3.25
2026-07-02,147,Monzo Bank,Instant Access Savings Pot - Perks,3.25,Monzo Bank|Instant Access Savings Pot - Perks|3.25
2026-07-02,148,Scottish BS,E-Saver Plus - Issue 8,3.25,Scottish BS|E-Saver Plus - Issue 8|3.25
2026-07-02,149,Scottish BS,Saver Plus - Issue 8,3.25,Scottish BS|Saver Plus - Issue 8|3.25
2026-07-02,150,Vanquis Bank,Easy Access Account (Issue 10),3.25,Vanquis Bank|Easy Access Account (Issue 10)|3.25
2026-07-02,151,Emma,Super Pot - Ultimate,3.24,Emma|Super Pot - Ultimate|3.24
2026-07-02,152,Emma,Easy Access Pot - Ultimate,3.20,Emma|Easy Access Pot - Ultimate|3.20
2026-07-02,153,Paragon Bank,Triple Access Savings Account - Issue 18,3.20,Paragon Bank|Triple Access Savings Account - Issue 18|3.20
2026-07-02,154,Plum,Easy Access Savings Pocket - Boost,3.20,Plum|Easy Access Savings Pocket - Boost|3.20
2026-07-02,155,Leeds BS,Five Access Saver,3.15,Leeds BS|Five Access Saver|3.15
2026-07-02,156,Loughborough BS,Access x3,3.15,Loughborough BS|Access x3|3.15
2026-07-02,157,Monzo Bank,Select Access Savings Pot,3.15,Monzo Bank|Select Access Savings Pot|3.15
2026-07-02,158,Monzo Bank,Select Access Savings Pot - Extra,3.15,Monzo Bank|Select Access Savings Pot - Extra|3.15
2026-07-02,159,Chorley Building Society,Easy Access Saver (2 Withdrawals),3.10,Chorley Building Society|Easy Access Saver (2 Withdrawals)|3.10
2026-07-02,160,Earl Shilton BS,Progress Account,3.10,Earl Shilton BS|Progress Account|3.10
2026-07-02,161,Monzo Bank,Select Access Savings Pot - Max,3.10,Monzo Bank|Select Access Savings Pot - Max|3.10
2026-07-02,162,Monzo Bank,Select Access Savings Pot - Perks,3.10,Monzo Bank|Select Access Savings Pot - Perks|3.10
2026-07-02,163,OakNorth Bank,Easy Access Account,3.10,OakNorth Bank|Easy Access Account|3.10
2026-07-02,164,Nottingham BS,Triple Access Saver,3.05,Nottingham BS|Triple Access Saver|3.05
2026-07-02,165,Charity Bank,Ethical Easy Access Account,3.04,Charity Bank|Ethical Easy Access Account|3.04
2026-07-02,166,Bank of Scotland,Advantage Saver,3.00,Bank of Scotland|Advantage Saver|3.00
2026-07-02,167,Furness BS,Triple Access Saver (Issue 2),3.00,Furness BS|Triple Access Saver (Issue 2)|3.00
2026-07-02,168,Halifax,Bonus Saver,3.00,Halifax|Bonus Saver|3.00
2026-07-02,169,Halifax,Reward Bonus Saver,3.00,Halifax|Reward Bonus Saver|3.00
2026-07-02,170,Lloyds Bank,Club Lloyds Advantage Saver,3.00,Lloyds Bank|Club Lloyds Advantage Saver|3.00
2026-07-02,171,Plum,Easy Access Savings Pocket - Basic,3.00,Plum|Easy Access Savings Pocket - Basic|3.00
2026-07-02,172,Plum,Easy Access Savings Pocket - Plus,3.00,Plum|Easy Access Savings Pocket - Plus|3.00
2026-07-02,173,Post Office Money®,Instant Saver Issue 34,3.00,Post Office Money®|Instant Saver Issue 34|3.00
2026-07-02,174,Progressive BS,Online Instant Access Saver Account (Issue 2),3.00,Progressive BS|Online Instant Access Saver Account (Issue 2)|3.00
2026-07-02,175,TSB,Save Well Limited Access Account,3.00,TSB|Save Well Limited Access Account|3.00
2026-07-02,176,Emma,Super Pot - Pro,2.97,Emma|Super Pot - Pro|2.97
2026-07-02,177,Gatehouse Bank,Easy Access Account,2.95,Gatehouse Bank|Easy Access Account|2.95
2026-07-02,178,Zopa,Smart Saver - Access Pot,2.95,Zopa|Smart Saver - Access Pot|2.95
2026-07-02,179,Emma,Easy Access Pot - Pro,2.93,Emma|Easy Access Pot - Pro|2.93
2026-07-02,180,Buckinghamshire BS,Single Access Saver,2.90,Buckinghamshire BS|Single Access Saver|2.90
2026-07-02,181,Darlington BS,Easy Access Saver,2.80,Darlington BS|Easy Access Saver|2.80
2026-07-02,182,Loughborough BS,Access x4,2.80,Loughborough BS|Access x4|2.80
2026-07-02,183,Loughborough BS,Barrow Upon Soar Library Saver - Access X4,2.80,Loughborough BS|Barrow Upon Soar Library Saver - Access X4|2.80
2026-07-02,184,Loughborough BS,Castle Donington Library Saver - Access X4,2.80,Loughborough BS|Castle Donington Library Saver - Access X4|2.80
2026-07-02,185,Loughborough BS,Rainbows Community Saver - Access X4,2.80,Loughborough BS|Rainbows Community Saver - Access X4|2.80
2026-07-02,186,AlRayan Bank,Everyday Saver (Issue 3),2.75,AlRayan Bank|Everyday Saver (Issue 3)|2.75
2026-07-02,187,Monzo Bank,Instant Access Savings Pot,2.75,Monzo Bank|Instant Access Savings Pot|2.75
2026-07-02,188,Monzo Bank,Instant Access Savings Pot - Extra,2.75,Monzo Bank|Instant Access Savings Pot - Extra|2.75
2026-07-02,189,United Trust Bank,UTB Limited Access Saver Account,2.75,United Trust Bank|UTB Limited Access Saver Account|2.75
2026-07-02,190,Shawbrook Bank,Easy Access Savings Account - Issue 45,2.70,Shawbrook Bank|Easy Access Savings Account - Issue 45|2.70
2026-07-02,191,State Bank of India,Limited Access Savings Account,2.65,State Bank of India|Limited Access Savings Account|2.65
2026-07-02,192,Monzo Bank,Select Access Savings Pot,2.60,Monzo Bank|Select Access Savings Pot|2.60
2026-07-02,193,Monzo Bank,Select Access Savings Pot - Extra,2.60,Monzo Bank|Select Access Savings Pot - Extra|2.60
2026-07-02,194,Yorkshire Building Society,Rainy Day Account Issue 2,2.60,Yorkshire Building Society|Rainy Day Account Issue 2|2.60
2026-07-02,195,Atom Bank,Instant Saver,2.50,Atom Bank|Instant Saver|2.50
2026-07-02,196,Bath BS,Instant Access,2.50,Bath BS|Instant Access|2.50
2026-07-02,197,Buckinghamshire BS,Triple Access Saver,2.50,Buckinghamshire BS|Triple Access Saver|2.50
2026-07-02,198,NatWest,Defined Access Saver - Issue 3,2.50,NatWest|Defined Access Saver - Issue 3|2.50
2026-07-02,199,Santander,Limited Access Saver (Issue 8),2.50,Santander|Limited Access Saver (Issue 8)|2.50
2026-07-02,200,Santander,Select Easy Access Saver (Issue 1),2.50,Santander|Select Easy Access Saver (Issue 1)|2.50
2026-07-02,201,Starling Bank,Easy Saver,2.50,Starling Bank|Easy Saver|2.50
2026-07-02,202,Vida Savings,Double Access Saver Issue 1,2.50,Vida Savings|Double Access Saver Issue 1|2.50
2026-07-02,203,Saffron BS,Savvy Saver,2.43,Saffron BS|Savvy Saver|2.43
2026-07-02,204,Family Building Society,Branch Saver (5),2.40,Family Building Society|Branch Saver (5)|2.40
2026-07-02,205,Moneybox,Simple Saver,2.40,Moneybox|Simple Saver|2.40
2026-07-02,206,The Stafford BS,Triple Access Pullman (Instant Access),2.35,The Stafford BS|Triple Access Pullman (Instant Access)|2.35
2026-07-02,207,Yorkshire Building Society,Everyday Saver,2.35,Yorkshire Building Society|Everyday Saver|2.35
2026-07-02,208,Ecology Building Society,Easy Access,2.30,Ecology Building Society|Easy Access|2.30
2026-07-02,209,Hanley Economic BS,Jet Set Saver,2.30,Hanley Economic BS|Jet Set Saver|2.30
2026-07-02,210,Hanley Economic BS,Jet Set Saver Online,2.30,Hanley Economic BS|Jet Set Saver Online|2.30
2026-07-02,211,Nationwide BS,Flex Instant Saver 7,2.30,Nationwide BS|Flex Instant Saver 7|2.30
2026-07-02,212,Teachers BS,Easy Access Savings for Teachers (Issue 1),2.30,Teachers BS|Easy Access Savings for Teachers (Issue 1)|2.30
2026-07-02,213,Aldermore,Easy Access Account (Issue 20),2.25,Aldermore|Easy Access Account (Issue 20)|2.25
2026-07-02,214,Chase,Chase Saver,2.25,Chase|Chase Saver|2.25
2026-07-02,215,Family Building Society,Everyday Saver (3),2.25,Family Building Society|Everyday Saver (3)|2.25
2026-07-02,216,Marsden BS,Branch Saver (Issue 18),2.25,Marsden BS|Branch Saver (Issue 18)|2.25
